Authors,n,Author_ID
Alexandra M Klein,9,1
Ingolf Steffan-Dewenter,9,2
Claire Kremen,8,3
Rachael Winfree,8,4
Simon G Potts,8,5
Teja Tscharntke,7,6
Sarah Greenleaf,6,7
Saul A Cunningham,6,8
Blande F Viana,5,9
Lucas A Garibaldi,5,10
Marcelo A Aizen,5,11
Margaret M Mayfield,5,12
Neal Williams,5,13
Riccardo Bommarco,5,14
Taylor H Ricketts,5,15
Luísa G Carvalheiro,4,16
Maj Rundlöf,4,17
Natacha P Chacoff,4,18
Yael Mandelik,4,19
Andrea Holzschuh,3,20
Barbara Gemmill-Herren,3,21
Catrin Westphal,3,22
Hajnalka Szentgyörgyi,3,23
Hisatomo Taki,3,24
Jacobus C Biesmeijer,3,25
Jan H Dudenhöffer,3,26
Kristin Krewenka,3,27
Lora Morandin,3,28
Rufus Isaacs,3,29
Stephen Buchmann,3,30
Adam J Vanbergen,2,31
Brad Howlett,2,32
Breno M Freitas,2,33
Carlos H Vergara,2,34
Carsten Thies,2,35
Christina M Kennedy,2,36
Christof Schüepp,2,37
Claire Brittain,2,38
Cristina Botías,2,39
Daniel Cariveau,2,40
Dave Goulson,2,41
David W Roubik,2,42
Dennis VanEngelsdorp,2,43
Diana Cox-Foster,2,44
Diego P Vázquez,2,45
Gary Paul Nabhan,2,46
Georg KS Andersson,2,47
Gideon Pisanty,2,48
Graham H Pyke,2,49
Gretchen LeBuhn,2,50
Henrik G Smith,2,51
Ignasi Bartomeus,2,52
Jaboury Ghazoul,2,53
James Regetz,2,54
Jay D Evans,2,55
Jeff Ollerton,2,56
Jeffery S Pettis,2,57
Josef Settele,2,58
Juliana Hipólito,2,59
Lawrence D Harder,2,60
Lina Herbertsson,2,61
Mark Otieno,2,62
Menno Reemer,2,63
Romina Rader,2,64
Smitha Krishnan,2,65
Steven K Javorek,2,66
Ørjan Totland,1,67
Abby L Kalkstein,1,68
Achim Gathmann,1,69
Agustin Saez,1,70
Alana L Burley,1,71
Alberto Burquez,1,72
Alfred Ochieng’,1,73
Amelia V González‐Porto,1,74
Amparo Lázaro,1,75
Anders Nielsen,1,76
Andreas Kruess,1,77
Andrew Drysdale,1,78
Anne Bogdanski,1,79
Anne‐Line Bjerknes,1,80
Anthony D Arthur,1,81
AP Schaffers,1,82
Aránzazu Meana,1,83
Axel Decourtye,1,84
Bach Kim Nguyen,1,85
Benjamin Foully,1,86
Bernard E Vaissière,1,87
Björn K Klatt,1,88
Brian A Nault,1,89
Bruce Pavlik,1,90
