title,title_characters,author,journal,number,cites,year,pubid,name,scholar_id
 recent introduction armyworm parasites texas,57,FA Bianchi,,,16,1944,W5xh706n7nkC,Felix Bianchi,"""8bwmdY4AAAAJ"""
seed germination gilia capitata relatives,52,V Grant,Madrono,"10 (3), 87-93",13,1949,e5wmG9Sq2KIC,Verne Grant,"""8Qb6gMkAAAAJ"""
pollination systems isolating mechanisms angiosperms,58,V Grant,Evolution,82-97,689,1949,eflP2zaiRacC,Verne Grant,"""8Qb6gMkAAAAJ"""
 genetic systematic analysis gilia capitata complex,63,V Grant,"University of California, Berkeley",,6,1949,eMMeJKvmdy0C,Verne Grant,"""8Qb6gMkAAAAJ"""
arthur dobbs discovery pollination flowers insects,78,V Grant,Bulletin of the Torrey Botanical Club,"76 (3), 217",23,1949,YsMSGLbcyi4C,Verne Grant,"""8Qb6gMkAAAAJ"""
 flower constancy bees,28,V Grant,Botanical Review,"16 (7), 379-398",348,1950,P5F9QuxV20EC,Verne Grant,"""8Qb6gMkAAAAJ"""
 pollination calycanthus occidentalis,43,V Grant,American Journal of Botany,"37 (4), 294-297",111,1950,ZuybSZzF8UAC,Verne Grant,"""8Qb6gMkAAAAJ"""
 protection ovules flowering plants,48,V Grant,Evolution,179-201,169,1950,qjMakFHDy7sC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia gilia capitata,57,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"2 (3), 239-316",80,1950,EUQCXRtRnyEC,Verne Grant,"""8Qb6gMkAAAAJ"""
 fertilization flowers,28,V Grant,Scientific American,"184 (6), 52-57",50,1951,dhFuZR0502QC,Verne Grant,"""8Qb6gMkAAAAJ"""
cytogenetics hybrid gilia millefoliata x achilleafolia,61,V Grant,,,2,1952,r_AWSJRzSzQC,Verne Grant,"""8Qb6gMkAAAAJ"""
isolation hybridization aquilegia formosa pubescens,70,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"2 (4), 341-360",150,1952,tOudhMTPpwUC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia iii gilia tricolor complex,71,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"2 (4), 375-388",13,1952,uWQEDVKXjbEC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia ii gilia capitata abrotanifolia,72,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"2 (4), 361-373",27,1952,V3AGJWp-ZtQC,Verne Grant,"""8Qb6gMkAAAAJ"""
 role hybridization evolution leaftystemmed gilias,71,V Grant,Evolution,51-64,58,1953,B3FOqHPlNUQC,Verne Grant,"""8Qb6gMkAAAAJ"""
genetic taxonomic studies gilia v gilia clivorum,57,V Grant,Aliso: A Journal of Systematic and Floristic Botany,"3 (1), 19-34",23,1954,UeHWp8X0CEIC,Verne Grant,"""8Qb6gMkAAAAJ"""
