title,Authors,author_id,Number_of_Authors,journal,number,cites,year,pubid,name,Scholar_ID,category,outcome,open.access
Optimal foraging theory: a critical review,Graham H Pyke,49,1,Annual review of ecology and systematics,"15, 523-575",2802,1984,"""u-x6o8ySG0sC""","Pyke, Graham H.","""RDpVYUMAAAAJ""",Pollinator behavior,Acritical review on optimal foraging theory,yes
Threats to an ecosystem service: pressures on pollinators,Adam J Vanbergen,31,1,Frontiers in Ecology and the Environment,"11 (5), 251-259",1594,2013,"""5Ul4iDaHHb8C""",Philip C Stevenson,"""LFTAL14AAAAJ""",Pollinator declines,Mathematical modeling and simulations reveal that increased mortality and reduced carrying capacity of pollinators,yes
Buzz pollination in angiosperms.,Stephen Buchmann,30,1,CABI publishing,_,1054,1983,"""u-x6o8ySG0sC""",Stephen Buchmann,"""tqms8REAAAAJ""",Pollinator behavior,A Quick guide Buzz pollination,no
Ecology and natural history of tropical bees,David W Roubik,42,2,Cambridge University Press,_,2640,1992,"""Ug5p-4gJ2f0C""",David Roubik,"""Kr5N890AAAAJ""",Pollinator ecology,Ecology and Natural History of Tropical Bees�,no
The forgotten pollinators,"Stephen Buchmann, Gary Paul Nabhan",30 _ 46,2,Island Press,_,1577,2012,"""u5HHmVD_uO8C""",Stephen Buchmann,"""tqms8REAAAAJ""",Importance of pollinators,"the vital role of pollination, emphasizing its contribution to one-third of the world's food supply",no
Crop pollination by bees,"Keith S Delaplane, Daniel F Mayer",156 _ 103,2,CABI publishing,_,1451,2000,"""u5HHmVD_uO8C""",Keith S. Delaplane,"""GiHbaU4AAAAJ""",Importance of pollinators,"addressing the biology of pollination, culturing and managing bees for optimum crop pollination",no
The global stock of domesticated honey bees is growing slower than agricultural demand for pollination,"Marcelo A Aizen, Lawrence D Harder",11 _ 60,2,Current biology,"19 (11), 915-918",1446,2009,"""ufrVoPGSRksC""",Lawrence D. Harder,"""8PWpj6cAAAAJ""",Importance of pollinators,"Managed honeybee presence reduces pollination limitation in crops that can self-pollinate, but not in those requiring cross-pollination.",yes
Foraging ranges of solitary bees,"Achim Gathmann, Teja Tscharntke",69 _ 6,2,Journal of animal ecology,"71 (5), 757-764",1304,2002,"""Y0pCki6q_DkC""",Teja Tscharntke,"""X36HAGcAAAAJ""",Pollinator behavior,Solitary bees have maximum foraging distances of 150�600 m,yes
Insects as flower visitors and pollinators,"PG Kevan, HG Baker",199 _ 129,2,Annual review of entomology,"28 (1), 407-453",1254,1983,"""VOx2b1Wkg3QC""",Peter Kevan,"""mbOeZkcAAAAJ""",Pollination networks,describing Insects as flower visitors and pollinators,yes
Optimal foraging: a selective review of theory and tests,"Graham H Pyke, H Ronald Pulliam, Eric L Charnov",49 _ 126 _ 117,3,The quarterly review of biology,"52 (2), 137-154",4287,1977,"""u5HHmVD_uO8C""","Pyke, Graham H.","""RDpVYUMAAAAJ""",Pollinator behavior,Optimal foraging theory is supported by data but needs refinement to address complex situations and currencies beyond energy.,no
How many flowering plants are pollinated by animals?,"Jeff Ollerton, Rachael Winfree, Sam Tarrant",56 _ 4 _ 213,3,Oikos,"120 (3), 321-326",4147,2011,"""k_IJM867U9cC""",Jeff Ollerton,"""pGS18ZgAAAAJ""",Importance of pollinators,About 88% of flowering plants are pollinated by animals,yes
