URL,Scholar_ID,name,affiliation,total_cites,Total_Citations_first_author,num_unblong_citations,proportion_unblong,h_index,i10_index,fields,
https://scholar.google.com/citations?hl=en&user=_0rxcOwAAAAJ,"""_0rxcOwAAAAJ""",DR DEVINDER SHARMA,Associate Professor,2092.00,549.00,1543.00,73.76,21.00,56.00,"apiculture, beekeeping, pollination",
https://scholar.google.com/citations?hl=en&user=_H3_qKwAAAAJ,"""_H3_qKwAAAAJ""",David Lowenstein,Consumer Horticulture Extension Educator,1756.00,699.00,1057.00,60.19,16.00,18.00,"Community Ecology, Pollinators, Agriculture, Urban systems",
https://scholar.google.com/citations?hl=en&user=_h3O20UAAAAJ,"""_h3O20UAAAAJ""","Mani Shrestha, PhD",University of Bayreuth,1494.00,581.00,913.00,61.11,23.00,35.00,"Plant Ecology, Policy, Community Ecology, Pollination, Ecosystem functioning",
https://scholar.google.com/citations?hl=en&user=-_q0e3QAAAAJ,"""-_q0e3QAAAAJ""",Magdalena Lenda,"Institute of Nature Conservation, Polish Academy of Sciences",2070.00,525.00,1545.00,74.64,24.00,41.00,"ecology, invasive species, ornithology, metapopulation, pollinators",
https://scholar.google.com/citations?hl=en&user=_ZlLqNwAAAAJ,"""_ZlLqNwAAAAJ""",Sjirk Geerts,Cape Peninsula University of Technology,1565.00,595.00,970.00,61.98,24.00,35.00,"Invasive plant species, Restoration Ecology, Pollination, Conservation, Fynbos",
https://scholar.google.com/citations?hl=en&user=04hFd4oAAAAJ,"""04hFd4oAAAAJ""",H. Michael G. Lattorff,University of KwaZulu Natal,5458.00,343.00,5115.00,93.72,28.00,45.00,"evolution, social insects, host-parasite interactions, pollination, honeybee",
https://scholar.google.com/citations?hl=en&user=04UrqXYAAAAJ,"""04UrqXYAAAAJ""",Kate Ostevik,"Assistant Professor, UC Riverside",1917.00,215.00,1702.00,88.78,15.00,16.00,"Speciation, Adaptation, Hybridization, Genome Evolution, Pollination",
https://scholar.google.com/citations?hl=en&user=0u2uLlsAAAAJ,"""0u2uLlsAAAAJ""",Giovanni Tamburini,University of Bari,3602.00,1296.00,2306.00,64.02,18.00,27.00,"Ecosystem services, pollination, biological control, sustainable crop production, service interactions.",
https://scholar.google.com/citations?hl=en&user=0UDnavUAAAAJ,"""0UDnavUAAAAJ""",Robert Tropek,"Faculty of Science, Charles University, Prague, & Institute of Entomology, Czech Academy of Sciences",3193.00,1478.00,1715.00,53.71,27.00,61.00,"Community Ecology, Pollination, Butterflies, Moths, Restoration Ecology",
https://scholar.google.com/citations?hl=en&user=0vBTIB4AAAAJ,"""0vBTIB4AAAAJ""",Joseph E. Armstrong,"Professor of Botany, Illinois State University",1647.00,962.00,685.00,41.59,24.00,31.00,"botany, floral biology, pollination, floral anatomy, hemiparasites",
