Keyword,year,frequency,cites
bee,1950,1,348
bee,1964,2,290
bee,1966,3,270
bee,1967,2,63
bee,1968,1,90
bee,1969,1,41
bee,1970,2,56
bee,1972,1,30
bee,1973,1,188
bee,1974,2,83
bee,1976,4,131
bee,1977,3,363
bee,1978,2,360
bee,1979,7,532
bee,1980,5,530
bee,1981,1,126
bee,1982,9,408
bee,1983,16,1192
bee,1984,8,631
bee,1985,15,1325
bee,1986,16,913
bee,1987,18,1617
bee,1988,15,430
bee,1989,13,601
bee,1990,30,1204
bee,1991,20,706
bee,1992,20,3607
bee,1993,20,1073
bee,1994,22,1257
bee,1995,19,767
bee,1996,34,2505
bee,1997,13,515
bee,1998,14,617
bee,1999,23,1926
bee,2000,34,3293
bee,2001,22,2226
bee,2002,24,3470
bee,2003,30,4815
bee,2004,45,3470
bee,2005,49,3914
bee,2006,66,8119
bee,2007,57,7941
bee,2008,76,7009
bee,2009,63,7069
bee,2010,78,8289
bee,2011,72,9579
bee,2012,101,10787
bee,2013,100,12260
bee,2014,96,8233
bee,2015,111,14185
bee,2016,97,6517
bee,2017,127,5778
bee,2018,116,4791
bee,2019,132,5860
bee,2020,157,4277
bee,2021,149,2753
bee,2022,139,1563
bee,2023,120,672
bee,2024,36,102
plant,1950,1,169
plant,1956,1,66
plant,1957,1,160
plant,1958,1,420
plant,1959,1,1
plant,1960,1,1
plant,1966,3,207
plant,1967,2,74
plant,1971,1,2
plant,1975,2,732
plant,1977,1,151
plant,1978,2,941
plant,1979,2,297
plant,1980,4,414
plant,1981,4,5268
plant,1982,2,61
plant,1983,3,99
plant,1984,4,84
plant,1985,1,64
plant,1986,4,186
plant,1987,2,544
plant,1988,5,1230
plant,1989,2,613
plant,1990,14,993
plant,1991,8,1816
plant,1992,8,262
plant,1993,6,377
plant,1994,9,1008
plant,1995,9,1561
plant,1996,16,3058
plant,1997,11,1481
plant,1998,11,1420
plant,1999,11,688
plant,2000,15,1785
plant,2001,17,1865
plant,2002,21,4731
plant,2003,15,1469
plant,2004,20,3332
plant,2005,24,4272
plant,2006,37,7759
plant,2007,36,3204
plant,2008,42,5404
plant,2009,40,3094
plant,2010,46,7380
plant,2011,52,12009
plant,2012,55,3250
plant,2013,62,4784
plant,2014,54,2166
plant,2015,48,3571
plant,2016,60,3265
plant,2017,69,5193
plant,2018,70,5452
plant,2019,83,3051
plant,2020,86,2488
plant,2021,78,2061
plant,2022,65,623
plant,2023,67,430
plant,2024,14,35
pollination,1949,2,712
pollination,1950,1,111
pollination,1961,1,5
pollination,1965,1,836
pollination,1966,2,67
pollination,1967,2,74
pollination,1969,1,60
pollination,1971,1,33
pollination,1972,2,401
pollination,1973,1,57
pollination,1974,3,242
pollination,1975,4,361
pollination,1976,3,134
pollination,1977,4,425
pollination,1978,4,377
pollination,1979,7,509
pollination,1980,3,165
pollination,1981,1,540
pollination,1982,3,671
pollination,1983,6,1479
